Student No,Name,Surname,Module,Grade
Eduv20214,Donald,Smith,Java Programming,74.5
Eduv20251,Ingrid,Williams,Database Systems,58.6
Eduv12925,Lucy,Madumo,C++ Programming,79.7
Eduv9994,Lesedi,Lebotsa,Database Systems,72.2
EDUV10000,Rivoningo,Anderson,Cloud Computing,44.9
EDUV10001,Lucas,Davis,Python Programming,82.2
EDUV10002,Sophia,Davis,Software Engineering,41.1
EDUV10003,Tshepo,Moore,Database Systems,89.9
EDUV10004,Ava,Brown,Cloud Computing,75.2
EDUV10005,Ava,Wilson,Database Systems,37.1
EDUV10006,Daniel,Miller,Cloud Computing,55.9
EDUV10007,Lesego,Davis,Computer Networks,50.9
EDUV10008,Kgosi,Williams,Computer Networks,78.5
EDUV10009,Sarah,Anderson,Python Programming,56.3
EDUV10010,Lusanda,Brown,Cloud Computing,54.3
EDUV10011,Khanyisile,Brown,Computer Networks,53.4
EDUV10012,Ava,Wilson,Cloud Computing,53.2
EDUV10013,Michael,Davis,Computer Networks,73.7
EDUV10014,Liam,Ndlovu,Computer Networks,55.2
EDUV10015,Liam,Jones,Computer Networks,55.4
EDUV10016,Mia,Taylor,Database Systems,47.0
EDUV10017,Tshepo,Brown,Software Engineering,79.4
EDUV10018,James,Wilson,Python Programming,62.9
EDUV10019,Ethan,Johnson,Python Programming,57.3
EDUV10020,James,Ndlovu,Database Systems,69.8
EDUV10021,Lusanda,Miller,Python Programming,67.2
EDUV10022,Khanyisile,Miller,Cloud Computing,71.8
EDUV10023,Lindokuhle,Anderson,Cloud Computing,61.0
EDUV10024,Michael,Moore,Database Systems,40.2
EDUV10025,Mia,Williams,Database Systems,64.4
EDUV10026,Tshepo,Mdlalose,Software Engineering,55.4
EDUV10027,Thando,Moore,Database Systems,65.5
EDUV10028,Thando,Thomas,Cloud Computing,45.6
EDUV10029,Olivia,Anderson,Software Engineering,75.1
EDUV10030,Lindokuhle,Lebotsa,Computer Networks,56.0
EDUV10031,Rivoningo,Lebotsa,Computer Networks,48.1
EDUV10032,Lucas,Moore,Computer Networks,73.2
EDUV10033,Lusanda,Lebotsa,Python Programming,61.4
EDUV10034,Lusanda,Thomas,Database Systems,74.7
EDUV10035,Lesego,Thomas,Software Engineering,63.2
EDUV10036,Michael,Mdlalose,Database Systems,66.2
EDUV10037,Lusanda,Moodley,Database Systems,63.4
EDUV10038,John,Lebotsa,Database Systems,75.1
EDUV10039,Rivoningo,Brown,Python Programming,54.7
EDUV10040,Lusanda,Moodley,Cloud Computing,63.4
EDUV10041,Sophia,Anderson,Computer Networks,44.5
EDUV10042,Khanyisile,Wilson,Computer Networks,82.9
EDUV10043,Daniel,Wilson,Python Programming,74.0
EDUV10044,Lesego,Jones,Software Engineering,50.8
EDUV10045,James,Brown,Cloud Computing,75.7
EDUV10046,Tshepo,Williams,Cloud Computing,43.6
EDUV10047,Michael,Miller,Computer Networks,56.8
EDUV10048,Khanyisile,Mdlalose,Computer Networks,57.3
EDUV10049,Khanyisile,Mdlalose,Computer Networks,53.9
EDUV10050,Lusanda,Brown,Python Programming,76.2
EDUV10051,Sarah,Mdlalose,Python Programming,75.2
EDUV10052,Kgosi,Thomas,Computer Networks,71.1
EDUV10053,Mia,Mdlalose,Python Programming,54.8
EDUV10054,Sarah,Lebotsa,Software Engineering,92.0
EDUV10055,Lucas,Lebotsa,Software Engineering,50.6
EDUV10056,Lucas,Jones,Software Engineering,80.6
EDUV10057,Thando,Anderson,Cloud Computing,63.2
EDUV10058,John,Brown,Software Engineering,53.3
EDUV10059,Thando,Anderson,Software Engineering,58.4
EDUV10060,Olivia,Williams,Database Systems,67.7
EDUV10061,David,Moodley,Python Programming,83.6
EDUV10062,Sophia,Davis,Software Engineering,55.3
EDUV10063,Michael,Anderson,Computer Networks,68.1
EDUV10064,Rivoningo,Johnson,Cloud Computing,73.0
EDUV10065,Kgosi,Mdlalose,Cloud Computing,75.2
EDUV10066,Ethan,Johnson,Cloud Computing,64.7
EDUV10067,Mia,Davis,Software Engineering,69.6
EDUV10068,Ava,Smith,Cloud Computing,67.6
EDUV10069,Daniel,Mdlalose,Cloud Computing,47.1
EDUV10070,Olivia,Taylor,Cloud Computing,38.1
EDUV10071,Sophia,Moore,Computer Networks,66.8
EDUV10072,Lindokuhle,Thomas,Cloud Computing,52.3
EDUV10073,Michael,Jones,Computer Networks,58.2
EDUV10074,James,Moore,Computer Networks,73.1
EDUV10075,Khanyisile,Davis,Database Systems,51.0
EDUV10076,Michael,Smith,Cloud Computing,40.6
EDUV10077,Lucas,Moore,Database Systems,58.8
EDUV10078,Lindokuhle,Mdlalose,Cloud Computing,59.9
EDUV10079,John,Moore,Database Systems,81.8
EDUV10080,Ava,Jones,Python Programming,76.7
EDUV10081,David,Moodley,Database Systems,50.0
EDUV10082,Tshepo,Johnson,Software Engineering,85.1
EDUV10083,John,Williams,Python Programming,70.5
EDUV10084,Liam,Jones,Database Systems,74.8
EDUV10085,Rivoningo,Brown,Software Engineering,55.8
EDUV10086,Daniel,Williams,Cloud Computing,45.8
EDUV10087,David,Ndlovu,Computer Networks,79.0
EDUV10088,James,Anderson,Cloud Computing,69.1
EDUV10089,Daniel,Mdlalose,Computer Networks,73.3
EDUV10090,Ava,Moore,Software Engineering,61.5
EDUV10091,John,Ndlovu,Database Systems,58.9
EDUV10092,Olivia,Wilson,Database Systems,57.5
EDUV10093,Khanyisile,Smith,Cloud Computing,62.0
EDUV10094,John,Smith,Software Engineering,66.2
EDUV10095,John,Williams,Python Programming,48.2
EDUV10096,Sarah,Ndlovu,Software Engineering,61.1
EDUV10097,Thando,Johnson,Software Engineering,73.6
EDUV10098,Rivoningo,Brown,Python Programming,70.4
EDUV10099,Thando,Johnson,Software Engineering,72.7
EDUV10100,Lucas,Moodley,Python Programming,76.7
EDUV10101,Daniel,Lebotsa,Computer Networks,51.0
EDUV10102,Sarah,Moore,Python Programming,69.9
EDUV10103,Ava,Ndlovu,Software Engineering,50.5
EDUV10104,Khanyisile,Wilson,Cloud Computing,40.8
EDUV10105,Khanyisile,Taylor,Python Programming,60.4
EDUV10106,James,Anderson,Computer Networks,55.2
EDUV10107,Lindokuhle,Johnson,Database Systems,32.6
EDUV10108,Ethan,Wilson,Python Programming,86.5
EDUV10109,Emma,Brown,Python Programming,83.2
EDUV10110,Lusanda,Moodley,Software Engineering,64.0
